interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race_ethnicity,household_income,education,state,congress_district,age_group,vote_trump,vote_biden
Only now and then,Registered,Donald Trump,Not sure,I am not sure/don't know,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",MS,MS02,58 to 67,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",TX,TX20,58 to 67,0,1
Only now and then,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$65,000 to $69,999",High school graduate,IL,,38 to 47,0,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$35,000 to $39,999",Other post high school vocational training,NC,NC05,28 to 37,0,1
Hardly at all,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$25,000 to $29,999",Associate Degree,OH,OH01,68 to 77,1,0
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,NA,The United States,Female,Northeast,Not Hispanic,white,"Less than $14,999",High school graduate,NY,NY22,58 to 67,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Moderate,unemployed,The United States,Male,West,Not Hispanic,white,"$20,000 to $24,999","Completed some college, but no degree",CA,CA43,38 to 47,0,0
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,unemployed,The United States,Female,Midwest,Not Hispanic,"other race, nec",NA,High school graduate,WI,WI01,28 to 37,0,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Very Conservative,unemployed,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",FL,FL13,58 to 67,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Male,West,Other Hispanic,white,"$35,000 to $39,999","Completed some college, but no degree",UT,UT01,18 to 27,0,1
Hardly at all,Registered,Gary Johnson,"No, I will not vote but I am eligible",Joe Biden,Liberal,employed,The United States,Female,South,Mexican,"other race, nec","$250,000 and above",Associate Degree,MS,MS01,18 to 27,0,1
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Very Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"Less than $14,999",High school graduate,IN,IN03,38 to 47,1,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Mexican,white,"Less than $14,999",High school graduate,TX,TX16,18 to 27,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,West,Mexican,white,NA,"College Degree (such as B.A., B.S.)",CA,CA46,38 to 47,0,1
Most of the time,Not registered,"Did not vote, but was eligible","No, I am not eligible to vote",I would not vote,Not Sure,not in labor force,The United States,Male,South,Not Hispanic,black/african american/negro,"$200,000 to $249,999",Completed some high school,GA,GA05,18 to 27,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,Another country,Female,West,Not Hispanic,white,"$100,000 to $124,999",Masters degree,CA,CA13,58 to 67,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Panamanian,"other race, nec","$50,000 to $54,999","Completed some college, but no degree",TX,TX15,38 to 47,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",SC,SC05,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Male,Midwest,Not Hispanic,white,"$85,000 to $89,999",High school graduate,IA,IA04,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"$55,000 to $59,999","Completed some college, but no degree",FL,FL08,68 to 77,1,0
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,unemployed,The United States,Male,Northeast,Not Hispanic,white,"Less than $14,999",High school graduate,PA,PA09,18 to 27,0,0
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Moderate,employed,The United States,Female,South,Not Hispanic,american indian or alaska native,"$25,000 to $29,999",High school graduate,OK,OK02,48 to 57,0,0
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Conservative,unemployed,The United States,Female,West,Mexican,"other race, nec","Less than $14,999",High school graduate,CA,CA03,28 to 37,0,1
Most of the time,Registered,Jill Stein,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$45,000 to $49,999",Other post high school vocational training,PA,PA02,58 to 67,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",LA,LA03,38 to 47,1,0
Some of the time,Registered,Gary Johnson,Not sure,I am not sure/don't know,Moderate,employed,The United States,Male,West,Not Hispanic,white,"Less than $14,999",High school graduate,CA,CA09,58 to 67,0,0
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Someone else,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$50,000 to $54,999",Completed some high school,FL,FL08,18 to 27,0,0
Only now and then,Not registered,Donald Trump,"No, I am not eligible to vote",Donald Trump,Moderate,unemployed,The United States,Male,South,Not Hispanic,white,"Less than $14,999",High school graduate,VA,VA09,28 to 37,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,West,Mexican,"other race, nec","$35,000 to $39,999","Completed some college, but no degree",CA,CA21,38 to 47,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$80,000 to $84,999",Other post high school vocational training,MN,MN07,48 to 57,1,0
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,employed,The United States,Male,West,Not Hispanic,white,"$70,000 to $74,999",Completed some high school,CA,CA17,38 to 47,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,not in labor force,The United States,Male,South,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",KY,KY06,48 to 57,0,1
Only now and then,Registered,Jill Stein,"Yes, I will vote",Someone else,Not Sure,employed,Another country,Female,West,Not Hispanic,black/african american/negro,"$75,000 to $79,999","Completed some college, but no degree",CA,CA37,38 to 47,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"Less than $14,999",Masters degree,MA,MA06,38 to 47,1,0
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Not Sure,employed,The United States,Female,Northeast,Not Hispanic,white,"$75,000 to $79,999",Completed some high school,PA,PA13,28 to 37,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",TX,TX32,48 to 57,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Northeast,Not Hispanic,"other race, nec","$150,000 to $174,999","College Degree (such as B.A., B.S.)",PA,PA12,48 to 57,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",SC,SC07,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$200,000 to $249,999","Completed some graduate, but no degree",NY,NY10,38 to 47,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Someone else,Moderate,employed,The United States,Male,West,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",AZ,AZ02,38 to 47,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,NJ,NJ06,68 to 77,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,employed,The United States,Male,West,Not Hispanic,white,"$125,000 to $149,999",Masters degree,WA,WA07,38 to 47,0,1
Only now and then,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Moderate,unemployed,Another country,Female,South,Not Hispanic,"other race, nec","$15,000 to $19,999","Completed some college, but no degree",AR,AR03,28 to 37,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Northeast,Not Hispanic,black/african american/negro,"$15,000 to $19,999",Completed some high school,NY,NY08,68 to 77,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",CT,CT04,58 to 67,0,1
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Very Liberal,not in labor force,The United States,Female,West,Not Hispanic,black/african american/negro,"$20,000 to $24,999",Completed some high school,CA,CA43,18 to 27,0,0
Most of the time,Don't know,Hillary Clinton,"Yes, I will vote",Someone else,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,black/african american/negro,"$15,000 to $19,999",High school graduate,PA,PA02,68 to 77,0,0
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$150,000 to $174,999","Completed some college, but no degree",IL,IL06,58 to 67,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",VA,VA11,68 to 77,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Very Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,"$125,000 to $149,999","Completed some college, but no degree",CA,CA45,68 to 77,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$175,000 to $199,999",Masters degree,OH,,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"$40,000 to $44,999",Masters degree,MD,MD07,48 to 57,0,1
Hardly at all,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Not Sure,employed,The United States,Male,Midwest,Not Hispanic,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",MO,MO04,28 to 37,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,South,Not Hispanic,white,"$200,000 to $249,999",Masters degree,TX,TX06,38 to 47,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Male,West,Not Hispanic,white,"$100,000 to $124,999","Completed some college, but no degree",AZ,AZ02,48 to 57,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$75,000 to $79,999","Completed some college, but no degree",PA,PA02,48 to 57,1,0
Only now and then,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",MO,MO07,28 to 37,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Mexican,"other race, nec","$100,000 to $124,999","College Degree (such as B.A., B.S.)",TN,TN08,28 to 37,0,1
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$200,000 to $249,999",High school graduate,TX,TX33,18 to 27,0,0
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$45,000 to $49,999",Completed some high school,NY,,28 to 37,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999",High school graduate,WV,WV03,58 to 67,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,employed,The United States,Female,Northeast,Not Hispanic,black/african american/negro,NA,Other post high school vocational training,PA,PA05,28 to 37,0,1
Some of the time,Registered,Don't recall,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Midwest,Mexican,"other race, nec","$100,000 to $124,999",Associate Degree,OH,OH08,18 to 27,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",NC,NC03,58 to 67,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$35,000 to $39,999","Completed some college, but no degree",PA,PA01,58 to 67,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,Midwest,Other Hispanic,white,"Less than $14,999","Completed some college, but no degree",MI,MI01,38 to 47,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Very Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$50,000 to $54,999",Associate Degree,NJ,NJ11,48 to 57,0,0
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$90,000 to $94,999",Doctorate degree,NC,NC03,28 to 37,0,1
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,employed,The United States,Female,Midwest,Not Hispanic,white,"$15,000 to $19,999",High school graduate,IA,IA03,38 to 47,0,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999",Masters degree,TN,TN09,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,South,Not Hispanic,white,"$175,000 to $199,999",Masters degree,FL,FL09,28 to 37,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$35,000 to $39,999",High school graduate,PA,PA17,68 to 77,1,0
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,unemployed,The United States,Female,Northeast,Not Hispanic,white,"$70,000 to $74,999",High school graduate,CT,CT03,58 to 67,0,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",OH,OH14,38 to 47,1,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,Northeast,Not Hispanic,white,NA,"College Degree (such as B.A., B.S.)",NY,NY21,38 to 47,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",FL,FL22,58 to 67,0,1
Only now and then,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,employed,The United States,Female,Northeast,Not Hispanic,white,"$200,000 to $249,999",Doctorate degree,PA,PA04,58 to 67,0,0
Hardly at all,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",Joe Biden,Moderate,unemployed,The United States,Male,West,Not Hispanic,white,"$100,000 to $124,999",Completed some high school,CA,CA33,18 to 27,0,1
Most of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Conservative,employed,The United States,Male,West,Spanish,white,NA,Masters degree,OR,OR01,38 to 47,0,0
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Conservative,unemployed,The United States,Female,South,Not Hispanic,white,"Less than $14,999",High school graduate,NC,NC12,28 to 37,0,0
Some of the time,Registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,NA,The United States,Female,Midwest,Not Hispanic,white,"$15,000 to $19,999",Completed some high school,KS,KS03,28 to 37,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$15,000 to $19,999","Completed some college, but no degree",MO,MO01,68 to 77,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,other asian or pacific islander,"$20,000 to $24,999",Associate Degree,MI,MI08,68 to 77,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$175,000 to $199,999",Masters degree,NY,NY12,38 to 47,1,0
Some of the time,Not registered,Was not eligible to vote,Not sure,Joe Biden,Moderate,NA,The United States,Female,Midwest,Not Hispanic,white,"Less than $14,999",High school graduate,MI,MI02,18 to 27,0,1
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Not Hispanic,white,NA,Masters degree,DE,DE00,38 to 47,1,0
Only now and then,Not registered,Hillary Clinton,Not sure,Joe Biden,Very Conservative,not in labor force,The United States,Female,West,Mexican,white,"$45,000 to $49,999",Associate Degree,CA,CA03,38 to 47,0,1
Hardly at all,Not registered,Don't recall,Not sure,Donald Trump,Not Sure,not in labor force,The United States,Female,South,Other Hispanic,"other race, nec","Less than $14,999",3rd Grade or less,FL,FL08,58 to 67,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$150,000 to $174,999",Masters degree,TX,,38 to 47,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$150,000 to $174,999",Masters degree,NY,NY07,38 to 47,1,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"Less than $14,999",High school graduate,IL,IL14,58 to 67,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Northeast,Not Hispanic,white,"$200,000 to $249,999","College Degree (such as B.A., B.S.)",NY,NY18,48 to 57,0,1
Most of the time,Registered,Donald Trump,Not sure,I am not sure/don't know,Conservative,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$25,000 to $29,999","Completed some college, but no degree",IL,IL14,68 to 77,0,0
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,Northeast,Mexican,"other race, nec",NA,High school graduate,NY,NY12,18 to 27,0,1
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"Less than $14,999","Completed some college, but no degree",OH,OH11,18 to 27,0,1
Some of the time,Registered,Don't recall,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Female,South,Not Hispanic,"other race, nec","$125,000 to $149,999","College Degree (such as B.A., B.S.)",AL,AL02,48 to 57,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Liberal,employed,The United States,Female,South,Not Hispanic,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",MD,MD03,28 to 37,1,0
Most of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$150,000 to $174,999",Masters degree,KS,KS03,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"$250,000 and above",Masters degree,VA,VA11,38 to 47,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$90,000 to $94,999","Completed some college, but no degree",NJ,NJ05,68 to 77,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Female,West,Not Hispanic,white,"$95,000 to $99,999","College Degree (such as B.A., B.S.)",CA,CA09,58 to 67,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$250,000 and above",Masters degree,NY,NY07,38 to 47,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$20,000 to $24,999","College Degree (such as B.A., B.S.)",NJ,NJ03,78 to 87,1,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",CT,CT05,38 to 47,0,1
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,NA,"Completed some graduate, but no degree",NC,NC03,48 to 57,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,white,NA,"College Degree (such as B.A., B.S.)",TN,TN07,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$150,000 to $174,999",Masters degree,NY,NY14,38 to 47,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$50,000 to $54,999",High school graduate,TN,TN06,28 to 37,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,West,Not Hispanic,white,"$150,000 to $174,999",Masters degree,CA,CA37,38 to 47,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",FL,FL15,58 to 67,1,0
Some of the time,Registered,Someone else:,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$50,000 to $54,999",High school graduate,NJ,NJ11,78 to 87,0,1
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Male,West,Not Hispanic,white,"$25,000 to $29,999",High school graduate,CA,CA23,38 to 47,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Northeast,Not Hispanic,white,"$35,000 to $39,999","College Degree (such as B.A., B.S.)",NH,NH01,28 to 37,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$55,000 to $59,999","College Degree (such as B.A., B.S.)",PA,PA10,68 to 77,1,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,West,Not Hispanic,white,"$50,000 to $54,999","College Degree (such as B.A., B.S.)",CA,CA23,38 to 47,0,1
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Female,South,Other Hispanic,white,"$60,000 to $64,999","Completed some college, but no degree",AR,AR03,48 to 57,0,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Liberal,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$15,000 to $19,999",Associate Degree,NY,NY27,68 to 77,1,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$150,000 to $174,999",Masters degree,PA,PA04,68 to 77,0,1
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Mexican,black/african american/negro,"$45,000 to $49,999",High school graduate,CA,CA51,18 to 27,0,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Northeast,Not Hispanic,white,"$150,000 to $174,999","Completed some college, but no degree",PA,PA11,58 to 67,0,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$40,000 to $44,999",High school graduate,MO,MO01,48 to 57,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Other Hispanic,"other race, nec","$95,000 to $99,999",Masters degree,NY,NY16,48 to 57,1,0
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$75,000 to $79,999",Associate Degree,OH,OH04,28 to 37,0,1
Hardly at all,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I am not sure/don't know,Not Sure,employed,The United States,Male,West,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",CA,CA21,28 to 37,0,0
Only now and then,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Male,Midwest,Not Hispanic,white,"Less than $14,999",Completed some high school,MO,MO05,28 to 37,1,0
Some of the time,Registered,Hillary Clinton,Not sure,Donald Trump,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"Less than $14,999",High school graduate,OH,OH04,58 to 67,1,0
Some of the time,Not registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Conservative,unemployed,Another country,Male,South,Not Hispanic,"other race, nec","$25,000 to $29,999","Completed some college, but no degree",FL,FL20,28 to 37,0,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$125,000 to $149,999",Masters degree,NY,NY25,38 to 47,0,1
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$75,000 to $79,999","Completed some college, but no degree",OH,OH07,38 to 47,1,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$150,000 to $174,999","College Degree (such as B.A., B.S.)",MA,MA05,48 to 57,1,0
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I would not vote,Moderate,employed,The United States,Male,South,Not Hispanic,"other race, nec","$30,000 to $34,999",Associate Degree,AL,AL05,28 to 37,0,0
Some of the time,Registered,Someone else:,"Yes, I will vote",I am not sure/don't know,Liberal,not in labor force,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$70,000 to $74,999",Associate Degree,MO,MO01,58 to 67,0,0
